StationCode,SampleID,FinalID,BAResult
ME-CC,ME-CC20107121,Apedilum,1
ME-CC,ME-CC20107121,Argia,2
ME-CC,ME-CC20107121,Ceratopogonidae,2
ME-CC,ME-CC20107121,Chironomus,6
ME-CC,ME-CC20107121,Cladotanytarsus,2
ME-CC,ME-CC20107121,Corbicula,17
ME-CC,ME-CC20107121,Cricotopus,115
ME-CC,ME-CC20107121,Cricotopus,6
ME-CC,ME-CC20107121,Cricotopus bicinctus group,24
ME-CC,ME-CC20107121,Cryptochironomus,1
ME-CC,ME-CC20107121,Dicrotendipes,15
ME-CC,ME-CC20107121,Dina,2
ME-CC,ME-CC20107121,Ephemeroptera,1
ME-CC,ME-CC20107121,Ephydridae,1
ME-CC,ME-CC20107121,Ephydridae,3
ME-CC,ME-CC20107121,Fallceon quilleri,4
ME-CC,ME-CC20107121,Hemerodromia,1
ME-CC,ME-CC20107121,Hydroptila,3
ME-CC,ME-CC20107121,Hydroptilidae,15
ME-CC,ME-CC20107121,Oligochaeta,187
ME-CC,ME-CC20107121,Ostracoda,54
ME-CC,ME-CC20107121,Pericoma/ Telmatoscopus,1
ME-CC,ME-CC20107121,Physa,4
ME-CC,ME-CC20107121,Polypedilum,5
ME-CC,ME-CC20107121,Tanytarsus ,1
ME-CC,ME-CC20107121,Tanytarsus,3
ME-CC,ME-CC20107121,Trichoptera,1
ME-CC,ME-CC20107121,Tricorythodes minutus,3
ME-CC,ME-CC20107121,Turbellaria,26
ME-CC,ME-CC2011771,Baetis,9
ME-CC,ME-CC2011771,Baetis adonis,6
ME-CC,ME-CC2011771,Cladotanytarsus,1
ME-CC,ME-CC2011771,Cladotanytarsus,98
ME-CC,ME-CC2011771,Coenagrionidae,1
ME-CC,ME-CC2011771,Corbicula,22
ME-CC,ME-CC2011771,Corixidae,1
ME-CC,ME-CC2011771,Cricotopus,2
ME-CC,ME-CC2011771,Cricotopus,45
ME-CC,ME-CC2011771,Cricotopus bicinctus group,52
ME-CC,ME-CC2011771,Cryptochironomus,63
ME-CC,ME-CC2011771,Dicrotendipes,1
ME-CC,ME-CC2011771,Dicrotendipes,42
ME-CC,ME-CC2011771,Fallceon quilleri,7
ME-CC,ME-CC2011771,Hemerodromia,2
ME-CC,ME-CC2011771,Hydroptila,36
ME-CC,ME-CC2011771,Hydroptilidae,6
ME-CC,ME-CC2011771,Oligochaeta,18
ME-CC,ME-CC2011771,Pentaneura,12
ME-CC,ME-CC2011771,Pericoma/ Telmatoscopus,1
ME-CC,ME-CC2011771,Physa,2
ME-CC,ME-CC2011771,Polypedilum,2
ME-CC,ME-CC2011771,Polypedilum,72
ME-CC,ME-CC2011771,Rheotanytarsus,11
ME-CC,ME-CC2011771,Simulium argus,34
ME-CC,ME-CC2011771,Sperchon,7
ME-CC,ME-CC2011771,Tanytarsus,3
ME-CC,ME-CC2011771,Thienemanniella,6
ME-CC,ME-CC2011771,Tribelos,1
ME-CC,ME-CC2011771,Tricorythodes explicatus,19
ME-CC,ME-CC2011771,Turbellaria,1
ME-VR2,ME-VR22010771,Anax,4
ME-VR2,ME-VR22010771,Anisoptera,8
ME-VR2,ME-VR22010771,Apedilum,17
ME-VR2,ME-VR22010771,Atractides,7
ME-VR2,ME-VR22010771,Bezzia/ Palpomyia,2
ME-VR2,ME-VR22010771,Caenis,1
ME-VR2,ME-VR22010771,Callibaetis,10
ME-VR2,ME-VR22010771,Caloparyphus/ Euparyphus,29
ME-VR2,ME-VR22010771,Chironomus,28
ME-VR2,ME-VR22010771,Coenagrionidae,4
ME-VR2,ME-VR22010771,Corixidae,32
ME-VR2,ME-VR22010771,Cryptochironomus,7
ME-VR2,ME-VR22010771,Dicrotendipes,3
ME-VR2,ME-VR22010771,Dixella,1
ME-VR2,ME-VR22010771,Ferrissia,1
ME-VR2,ME-VR22010771,Forcipomyia,9
ME-VR2,ME-VR22010771,Hyalella,111
ME-VR2,ME-VR22010771,Hydrobiidae,7
ME-VR2,ME-VR22010771,Hydrophilus,1
ME-VR2,ME-VR22010771,Labrundinia,6
ME-VR2,ME-VR22010771,Lebertia,2
ME-VR2,ME-VR22010771,Limnophyes,2
ME-VR2,ME-VR22010771,Menetus opercularis,1
ME-VR2,ME-VR22010771,Microtendipes,43
ME-VR2,ME-VR22010771,Oligochaeta,91
ME-VR2,ME-VR22010771,Ostracoda,11
ME-VR2,ME-VR22010771,Paraphaenocladius,4
ME-VR2,ME-VR22010771,Pentaneura,13
ME-VR2,ME-VR22010771,Phaenopsectra,1
ME-VR2,ME-VR22010771,Polycentropus,1
ME-VR2,ME-VR22010771,Polypedilum,64
ME-VR2,ME-VR22010771,Sialis,1
ME-VR2,ME-VR22010771,Tabanidae,1
ME-VR2,ME-VR22010771,Tanytarsus,1
ME-VR2,ME-VR22010771,Tanytarsus,16
ME-VR2,ME-VR22010771,Thienemannimyia group,5
ME-VR2,ME-VR22010771,Tipula,1
ME-VR2,ME-VR22010771,Torrenticolidae,18
ME-VR2,ME-VR22010771,Tribelos,1
ME-VR2,ME-VR22010771,Trichocorixa calva,11
ME-VR2,ME-VR22010771,Tricorythodes minutus,28
ME-VR2,ME-VR22011761,Apedilum,6
ME-VR2,ME-VR22011761,Atractides,10
ME-VR2,ME-VR22011761,Baetis,10
ME-VR2,ME-VR22011761,Baetis adonis,29
ME-VR2,ME-VR22011761,Baetis tricaudatus,5
ME-VR2,ME-VR22011761,Callibaetis,1
ME-VR2,ME-VR22011761,Caloparyphus/ Euparyphus,1
ME-VR2,ME-VR22011761,Corisella decolor,1
ME-VR2,ME-VR22011761,Corixidae,11
ME-VR2,ME-VR22011761,Cricotopus,2
ME-VR2,ME-VR22011761,Cricotopus,9
ME-VR2,ME-VR22011761,Cricotopus trifascia group,30
ME-VR2,ME-VR22011761,Eukiefferiella,4
ME-VR2,ME-VR22011761,Euparyphus,1
ME-VR2,ME-VR22011761,Fallceon quilleri,66
ME-VR2,ME-VR22011761,Hyalella,3
ME-VR2,ME-VR22011761,Hydropsyche,49
ME-VR2,ME-VR22011761,Hydroptila,38
ME-VR2,ME-VR22011761,Hydroptilidae,1
ME-VR2,ME-VR22011761,Labrundinia,2
ME-VR2,ME-VR22011761,Micrasema,3
ME-VR2,ME-VR22011761,Microcylloepus,3
ME-VR2,ME-VR22011761,Micropsectra,3
ME-VR2,ME-VR22011761,Microtendipes,38
ME-VR2,ME-VR22011761,Ochrotrichia,3
ME-VR2,ME-VR22011761,Ostracoda,47
ME-VR2,ME-VR22011761,Pentaneura,4
ME-VR2,ME-VR22011761,Polycentropus,1
ME-VR2,ME-VR22011761,Polypedilum,5
ME-VR2,ME-VR22011761,Rheocricotopus,1
ME-VR2,ME-VR22011761,Rheotanytarsus,55
